Reference	EN	ES
doc#1153	"<s> These issues include the status of Jerusalem , Israeli settlements in the occupied Palestinian lands , refugees and boundaries . </s>"	"<s> Estas cuestiones comprenden : la condición de Jerusalén , los asentamientos israelíes en las tierras palestinas ocupadas , los refugiados y las fronteras . </s>"
doc#1155	"<s> Given the situation '' s implications for other regions , the re-establishing and stabilizing of peace in the region are of vital importance to the whole world in view of the effect this would have on the other regions of the world . </s>"	"<s> Habida cuenta de las consecuencias que la situación tiene sobre otras regiones , el restablecimiento y la estabilización de la paz en la región tienen una importancia vital para el mundo entero , en virtud de la repercusión que ello podría tener sobre otras regiones del mundo . </s>"
doc#1155	"<s> Israel '' s pursuit of its nuclear programmes outside international monitoring does not serve the cause of peace , security and stability in the Middle East . </s>"	"<s> El empeño de Israel de continuar con su programa nuclear sin control internacional no ayudará a salvaguardar la paz , la seguridad y la estabilidad en el Oriente Medio . </s>"
doc#1157	"<s> Another ground for hope is the recent United Nations Conference on Human Rights , which has declared the right to development to be a universal and inalienable right , an integral part of fundamental human rights . </s>"	"<s> Otra razón para la esperanza es la reciente Conferencia Mundial de Derechos Humanos , que ha declarado que el derecho al desarrollo es un derecho universal e inalienable , parte integrante de los derechos humanos . </s>"
doc#1162	<s> This dichotomization was an expedient which was due to a contemporary policy decision about the desirability or immediate feasibility of enforcing all five species of rights in a single instrument . </s>	<s> Esta dicotomía fue un recurso debido a una decisión política que se tomó en su momento sobre la conveniencia o viabilidad inmediata de aplicar los cinco tipos de derechos en un solo instrumento . </s>
doc#1163	"<s> The Special Committee would continue to follow closely developments in South Africa ; maintain close contacts with academic institutions and the labour , business and civic communities , including community-based and other non-governmental organizations ; consult with parties in the political process , with legitimate non-racial structures and with a democratically elected non-racial Government with a view to facilitating the resumption of the participation of South Africa in the work of the General Assembly ; and submit as soon as possible , following the establishment of a democratic Government , a final report to the General Assembly . </s>"	"<s> El Comité Especial continuará siguiendo de cerca los acontecimientos en Sudáfrica , manteniendo contactos estrechos con las instituciones académicas y las comunidades laborales , empresariales y cívicas , incluidas las organizaciones comunitarias y no gubernamentales ; consultando con las partes en el proceso político , con estructuras no racistas legítimas y con un gobierno no racista elegido democráticamente , con miras a facilitar la reanudación de la participación de Sudáfrica en la labor de la Asamblea General ; y , tras el establecimiento de un gobierno democrático , presentará lo antes posible un informe final a la Asamblea General . </s>"
doc#1165	"<s> The Republic of Angola actively participated in the World Conference on Human Rights , which was held in Vienna , and supported the consensus view . </s>"	"<s> La República de Angola participó activamente en la Conferencia Mundial de Derechos Humanos , celebrada en Viena , y apoyó sus criterios consensuados . </s>"
doc#1166	<s> There cannot be any doubt that UNPROFOR '' s continued presence is very important for the region . </s>	<s> No cabe duda alguna de que la continua presencia de la UNPROFOR es muy importante para la región . </s>
doc#1168	"<s> Fourthly , we need to ensure that field operations meet high performance standards . </s>"	"<s> Cuarto , debemos asegurarnos de que las operaciones sobre el terreno cumplan con niveles de rendimiento muy elevados . </s>"
doc#1168	<s> We strive to pursue our policies in such a way as to lay the foundation for a prosperous and neutral Belarus . </s>	<s> Nos esforzamos por llevar adelante nuestra política de una manera que permita sentar las bases para un Belarús próspero y neutral . </s>
doc#1171	"<s> 6 . Representatives of the following specialized agencies and international organizations attended the session : International Atomic Energy Agency ( IAEA ) , United Nations Educational , Scientific and Cultural Organization ( UNESCO ) , International Telecommunication Union ( ITU ) , European Space Agency ( ESA ) , International Astronautical Federation ( IAF ) and International Law Association ( ILA ) . </s>"	"<s> Asistieron al período de sesiones representantes de los siguientes organismos especializados y organizaciones internacionales : Organismo Internacional de Energía Atómica ( OIEA ) , Organización de las Naciones Unidas para la Educación , la Ciencia y la Cultura ( UNESCO ) , Unión Internacional de Telecomunicaciones ( UIT ) , Agencia Espacial Europea ( ESA ) , Federación Internacional de Astronáutica ( FIA ) y Asociación de Derecho Internacional ( ADI ) . </s>"
doc#1175	"<s> The statement includes 15 "" principles/elements "" , including provisions that all countries should institute forest conservation and reforestation policies ; that countries have the right to develop their forest resources according to their own socio-economic needs ; and that financial resources should be provided to developing countries to establish forest conservation programmes . </s>"	"<s> La declaración comprende 15 "" principios/elementos "" , entre ellos disposiciones en el sentido de que todos los países deberían instaurar políticas de conservación de bosques y reforestación ; de que los países tienen el derecho de aprovechar sus recursos forestales de conformidad con sus propias necesidades socioeconómicas , y de que deberían facilitarse a los países en desarrollo los recursos financieros para instaurar programas de conservación de bosques . </s>"
doc#1175	"<s> The General Assembly has repeatedly stated , most recently in resolution 47/67 of 14 December 1992 ( para . 9 (c)) , that it is particularly urgent to implement the UNISPACE 82 recommendation that the United Nations should support the creation of adequate training centres at the regional level . </s>"	"<s> 94 . </s><s> En el inciso c ) del párrafo 9 de la resolución 47/67 de la Asamblea General , de 14 de diciembre de 1992 , se afirma nuevamente que es particularmente urgente aplicar la recomendación de la Segunda Conferencia de que las Naciones Unidas apoyen la creación de centros de capacitación adecuados a nivel regional . </s>"
doc#1188	<s> 14 . The executive branch consists of a Governor and a Lieutenant-Governor elected for four years by universal adult suffrage . </s>	"<s> 14 . </s><s> El poder ejecutivo está formado por el Gobernador y un Vicegobernador , elegidos por cuatro años por sufragio universal de la población adulta . </s>"
doc#1188	"<s> 24 . On 25 November 1992 , the General Assembly adopted a consolidated resolution ( 47/27 ) on 10 Non-Self-Governing Territories , a section of which was specifically devoted to American Samoa ( resolution 47/27 B , sect . I ) . In that resolution , the Assembly , inter alia , welcomed the establishment of a new Political Status and Constitutional Review Commission ; called upon the administering Power , in cooperation with the territorial Government , to continue to promote the economic and social development of the Territory , in order to reduce its heavy economic and financial dependence on the United States ; urged the administering Power to continue to support measures by the territorial Government aimed at promoting the diversification of the economy and the development of the existing industries , particularly commercial fishing and tourism ; called upon the administering Power to continue to provide the Territory with assistance to reconstruct the public facilities and homes destroyed or heavily damaged by hurricane Val in December 1991 ; and noted that a period of 11 years had elapsed since a United Nations mission last visited the Territory . </s>"	"<s> 24 . </s><s> El 25 de noviembre de 1992 , la Asamblea General aprobó una resolución conjunta ( 47/27 ) sobre 10 territorios no autónomos , una de cuyas secciones trataba específicamente de Samoa Americana ( resolución 47/27 B , secc . </s><s> I ) . </s><s> En esa resolución , la Asamblea , entre otras cosas , acogió con beneplácito que se hubiera creado una nueva comisión de examen de la Constitución y del estatuto político ; exhortó a la Potencia Administradora a que , en cooperación con el Gobierno del Territorio , siguiera promoviendo su desarrollo económico y social a fin de reducir su gran dependencia económica y financiera respecto de los Estados Unidos de América ; instó a la Potencia Administradora a que siguiera apoyando las medidas adoptadas por el Gobierno del Territorio con miras a promover la diversificación de la economía y el desarrollo de las industrias existentes , especialmente la pesca comercial y el turismo ; exhortó a la Potencia Administradora a que continuara prestando la asistencia necesaria al Territorio para reconstruir las instalaciones públicas y casas de familia destruidas o gravemente dañadas por el huracán Val en diciembre de 1991 , tomó nota de que habían transcurrido 11 años desde que una misión de las Naciones Unidas visitó el Territorio . </s>"
doc#1190	<s> F. Crime prevention </s>	<s> F. Prevención del delito </s>
doc#1191	"<s> According to the 1991 Guam Annual Economic Review , the high retail and wholesale receipts are attributed to tourism , with estimated spending for each tourist amounting to $1,200 in retail establishments while visiting the Territory . </s>"	"<s> Según el informe económico 1991 Guam Annual Economic Review , las elevadas utilidades generadas por el comercio minorista y mayorista deben atribuirse al turismo ; se estima que cada turista que viaja al Territorio gasta 1.200 dólares en establecimientos minoristas , lo que deja a Guam unos ingresos anuales del orden de los 750_millones de dólares38 . </s>"
doc#1193	"<s> 15/ United States Virgin Islands , Office of Public Relations , Official News Release No. l94 , 2 March 1993 . </s>"	"<s> 15 Oficina de Relaciones Públicas de las Islas Vírgenes de los Estados Unidos , comunicado de prensa oficial No . 194 , 2 de marzo de 1993 . </s>"
doc#1197	<s> A. General Assembly and other United Nations bodies </s>	<s> A. La Asamblea General y otros órganos de las Naciones Unidas </s>
doc#1197	"<s> Those conditions included the freedom to interview prisoners without witnesses , to have repeated access to them , to receive a complete list of all the prisoners detained in different centres and also to have access to those centres . 39/ The Indonesian Minister for Foreign Affairs , Mr. Ali Alatas , is reported to have stated recently , however , that visits to prisoners in East Timor , including to Mr. Gusmão , had been allowed again after an earlier "" problem of miscommunication "" . 40/ </s>"	"<s> Sin embargo , al parecer el Ministro de Relaciones Exteriores de Indonesia , Sr . </s><s> Ali Alatas , declaró recientemente que , después de algún "" malentendido "" , se han vuelto a autorizar las visitas a los prisioneros de Timor Oriental , incluido el Sr . </s><s> Gusmāo40 . </s>"
doc#1197	"<s> 67 . According to an Indonesian publication , from the beginning of Repelita V ( the fifth five-year plan for Indonesia ) which commenced in 1989 and will end in 1993 , the commitment in every area of social and economic development was clear . 51/ </s>"	"<s> 67 . </s><s> Según una publicación indonesia , desde el comienzo de Repelita V ( el quinto plan quinquenal para Indonesia ) , que se inició en 1989 y finalizará en 1993 , quedó demostrado el compromiso asumido en cada uno de los sectores del desarrollo social y económico51 . </s>"
doc#1212	"<s> RPCR controls the Provincial Assembly of the South and , by virtue of its representation in the other two assemblies , half of the 54 seats in the Territorial Congress . </s>"	"<s> El RPCR controla la Asamblea Provincial del Sur y , en virtud de su representación en las otras dos asambleas , la mitad de los 54 escaños en el Congreso Territorial . </s>"
doc#1225	<s> The Council took pride in having in its midst a representative of the black race who was one of the most highly recognized people in the world . </s>	<s> El Consejo se enorgullece de contar con la presencia de un individuo de raza negra que está entre los más reconocidos en el mundo . </s>
doc#1231	<s> 12 . The 1971 Declaration remained the Committee '' s raison d '' être . </s>	<s> 12 . </s><s> La delegación de la India considera que la Declaración de 1971 sigue dando sentido a la existencia del Comité Especial . </s>
doc#1234	<s> 1 . Mr. YUDIN ( Russian Federation ) said that the end of the cold war and the emergence of a new world order based on constructive multilateral cooperation had enhanced the role and significance of the United Nations and led to a growing trend to bring to the Organization problems which could be solved only on a multilateral basis . </s>	"<s> 1 . </s><s> El Sr . </s><s> YUDIN ( Federación de Rusia ) dice que con el final de la guerra fría y el surgimiento de un nuevo orden mundial basado en la cooperación multilateral y constructiva de las Naciones Unidas han adquirido mayor importancia y un papel más preponderante que , cada vez con mayor frecuencia se presentan a la Organización problemas que solamente pueden resolverse en el plano multilateral . </s>"
doc#1239	"<s> The first line of paragraph 18 should read : "" The Ad Hoc Committee recommends that it continue consideration of new alternative ... "" ; the rest of the paragraph would continue unchanged . </s>"	"<s> En la primera línea del párrafo 18 , antes de las palabras "" sobre la base "" , debe decir : "" El Comité Especial recomendó que se siguieran examinando otros criterios nuevos "" . </s>"
doc#1245	"<s> 9 . Working paper No. 3 contained the provisional programme for the Tenth United Nations International NGO Meeting on the Question of Palestine , to be held at Geneva or Vienna from 25 to 27 August 1993 . </s>"	<s> 9 . </s><s> El documento de trabajo No . 3 contiene el programa provisional de la Décima Reunión Internacional de Organizaciones No Gubernamentales sobre la Cuestión de Palestina que se celebrará en Ginebra o Viena del 25 al 27 de agosto de 1993 . </s>
doc#1252	<s> The Conference poster was printed in the six official languages and in Portuguese . </s>	<s> El cartel de la Conferencia se imprimió en los seis idiomas oficiales y en portugués . </s>
doc#1254	"<s> A significant part of this figure is borne by the Trust Fund for Information Support for African Economic Recovery and Development , which receives extrabudgetary contributions from Member States and from United Nations agencies . </s>"	"<s> Gran parte de esta cifra se imputa al Fondo Fiduciario para el apoyo a las actividades de información relativas a la recuperación económica y el desarrollo de Africa , el cual recibe contribuciones extrapresupuestarias de los Estados Miembros y de organismos de las Naciones Unidas . </s>"
doc#1262	"<s> Alternatively , they may correspond to a problem of conformity with policies and be addressed according to the modalities described in section III above . </s>"	"<s> 14 . </s><s> Las diferencias de interpretación y aplicación del párrafo 3 del artículo 4 respecto de la determinación de los "" gastos adicionales convenidos "" pueden referirse a decisiones de financiación y , por ende , tratarse según las modalidades descritas en el párrafo precedente , pero pueden también referirse a la compatibilidad con las políticas y tratarse según las modalidades descritas en la sección III supra . </s>"
doc#1264	<s> I. INTRODUCTION </s>	<s> I. INTRODUCCION </s>
doc#1264	"<s> 1 . Following a request by the Committee at its sixth session , the interim secretariat prepared a note for the seventh session on an information exchange system related to climate change activities ( A/AC.237/28 , section I. </s><s> A ) . </s>"	"<s> 1 . </s><s> Atendiendo a una petición hecha por el Comité en su sexto período de sesiones , la secretaría provisional preparó una nota para el séptimo período de sesiones en que se refería a un sistema de intercambio de información sobre las actividades relacionadas con el cambio climático ( A/AC.237/28 , sección I.A ) . </s>"
doc#1273	<s> A. National action programmes 38 </s>	<s> A. Programas de acción nacionales 51 </s>
doc#1273	"<s> The Secretariat received written comments from 30 governments and organizations in all regions of the world , some of which contained isolated drafting proposals . </s>"	"<s> 4.La Secretaría recibió comentarios escritos de 30 gobiernos y organizaciones de todas las regiones del mundo , algunos de los cuales contenían propuestas aisladas de redacción . </s>"
doc#1273	"<s> ( b ) Deeply concerned at the continuing degradation of the environment , at the dangerous deterioration of ecosystems that are essential to life and at the phenomena which , in the medium or long-term , could disrupt the ecological equilibrium of the planet and thus imperil the earth '' s capacity to feed itself ; ( Burkina Faso ) </s>"	"<s> b ) Profundamente preocupados por la degradación continua del medio ambiente y la peligrosa deterioración de los ecosistemas indispensables para la vida , así como por los fenómenos que podrían , a medio o largo plazo , romper el equilibrio ecológico del planeta y poner así en peligro la capacidad nutritiva de la tierra ; ( Burkina Faso ) </s>"
doc#1273	"<s> ( d ) Strengthen interdisciplinary research by offering grants to universities and research institutions for genuine interdisciplinary research ; offering incentives for environmental education and public awareness on environmental issues ; introducing integrated surveys , including use of geographical information systems ( GIS ) for efficient data collection , storage , integrated analysis and presentation , and making GIS technology available at decision-making level in administrations ; producing adequate related technologies ; and </s>"	"<s> d ) el fortalecimiento de la investigación interdisciplinaria mediante el ofrecimiento de donaciones a universidades e instituciones de investigación para genuinas investigaciones interdisciplinarias ; ofrecimiento de incentivos para la educación ambiental y la sensibilización del público respecto de las cuestiones ambientales ; introducción de encuestas integradas , incluido el uso de sistemas de información geográfica ( SIG ) para la reunión , el almacenamiento , el análisis integrado y la presentación eficientes de los datos y haciendo disponible la tecnología de los sistemas de información geográfica en los niveles ejecutivos de las administraciones ; elaboración de las tecnologías conexas adecuadas ; y </s>"
doc#1276	"<s> 66 . The Preamble of the Convention could contain general references to linkages to other environmental agreements , particularly : ( a ) the Climate Change Convention ; ( b ) the Biodiversity Convention ; ( c ) the Convention on International Trade in Endangered Species ( CITES ) ; ( d ) the Ramsar Convention on management of wetlands ( some of which , like the Niger inland delta in Mali , paradoxically occur in semi-arid areas ) ; ( e ) the Basel Convention on international trade in hazardous wastes and related agreements such as the Bamako Convention ; ( f ) the Bonn Convention on migratory species ; and ( g ) regional agreements on management of rivers and lakes , which include water use , water quality , fishing rights and energy provisions . </s>"	"<s> 65 . </s><s> El preámbulo de la Convención podría hacer referencia en general a la relación con otros instrumentos sobre el medio ambiente , en particular : a ) la Convención sobre el Cambio Climático ; b ) el Convenio sobre la Biodiversidad ; c ) la Convención sobre el comercio internacional de especies amenazadas de fauna y flora ( CITES ) , d ) la Convención sobre las zonas pantanosas de importancia internacional , especialmente como hábitat de aves acuáticas ( algunas de las cuales , como el delta interior del Níger en Malí , existen paradójicamente en zonas semiáridas ) ; e ) el Convenio de Basilea sobre el control de los movimientos transfronterizos de los desechos peligrosos y su eliminación , y los instrumentos conexos como la Convención de Bamako ; f ) la Convención de Bonn sobre especies migratorias y g ) los acuerdos regionales sobre gestión de ríos y lagos , que incluyen el aprovechamiento del agua , la calidad del agua , los derechos pesqueros y disposiciones sobre la energía . </s>"
doc#1281	"<s> The three organizations have established an Evaluation Steering Committee , which will be responsible for reviewing the report and ensuring that appropriate follow-up action is taken . </s>"	"<s> Las tres organizaciones han establecido un Comité Directivo de Evaluación , que se encargará de examinar el informe y de velar por que se adopten medidas adecuadas de seguimiento . </s>"
doc#1282	"<s> Para . 31 ( c ) Notes with concern the poor nutritional condition of refugee children in some refugee situations and the impact on the health of these children , and calls on the international community to provide adequate assistance to ensure that the basic nutritional needs of refugee children are met ; and urges UNHCR and its operational partners to continue to monitor the quantity and quality of food supplied and consumed in refugee feeding operations , and in particular the nutritional condition of refugee children ; </s>"	"<s> Párr . 31 c ) Toma nota con preocupación del mal estado nutricional de los niños refugiados en algunos casos y su repercusión sobre la salud de estos niños , y pide a la comunidad internacional que preste suficiente asistencia para garantizar que se satisfagan las necesidades nutricionales básicas de los niños refugiados ; e insta al ACNUR y a sus colaboradores operacionales a que sigan controlando la cantidad y calidad de los alimentos suministrados y consumidos en las operaciones de alimentación de refugiados , y en particular el estado nutricional de los niños refugiados ; </s>"
doc#1283	"<s> Having entrusted to the High Commissioner , under the auspices of the United Nations , the task of ensuring the international protection of refugees , States regularly extend to the Office the cooperation and support that are essential to discharge its functions . </s>"	"<s> Los Estados que han encomendado al Alto Comisionado , bajo el auspicio de las Naciones Unidas , la tarea de asegurar la protección internacional de los refugiados brindan regularmente a la Oficina la cooperación y el apoyo indispensables para el cumplimiento de sus funciones . </s>"
doc#1283	"<s> Unfortunately , despite progress in securing respect for the rights of refugees -- and towards achieving solutions in many regions -- most of the problems identified in earlier years have persisted and have become even more acute . </s>"	"<s> Lamentablemente , a pesar del progreso logrado en cuanto al respeto de los derechos de los refugiados -y a la búsqueda de soluciones en muchas regiones- muchos de los problemas identificados en los últimos años siguen existiendo y se han agudizado . </s>"
doc#1283	"<s> Normatively , voluntary repatriation is the direct corollary of the principle of non-refoulement : refugees , as persons deserving international protection , must not be returned in any manner whatsoever to territories where their lives or freedom would be threatened ; therefore , any return to the country that they fled must be voluntary , so long as the need for international protection continues . </s>"	"<s> Normativamente , la repatriación voluntaria es el corolario directo del principio de no devolución : los refugiados , como personas que merecen la protección internacional , no deben ser devueltos en modo alguno a territorios en los que su vida o su libertad se encuentren amenazadas ; por consiguiente , todo retorno al país que abandonaron debe ser voluntario en tanto en cuanto persista la necesidad de protección internacional . </s>"
doc#1286	"<s> In this context , rape has been used not only as an attack on the individual victim , but is intended to humiliate , shame , degrade and terrify the entire ethnic group . </s>"	"<s> En este contexto , la violación se ha utilizado no sólo como una agresión contra la víctima , sino también para humillar , avergonzar , degradar y aterrorizar a todo el grupo étnico . </s>"
doc#1289	"<s> 129 . In the past year , the Chinese and Laotian Governments had cooperated in the repatriation of Laotian refugees in China with the assistance of UNHCR . </s>"	"<s> 129 . </s><s> El pasado año los Gobiernos chino y lao cooperaron en la repatriación de los refugiados lao que estaban en China , con la asistencia del ACNUR . </s>"
doc#1291	<s> It was for that reason that her country wished to make a number of comments . </s>	"<s> Por esta razón , su país desea formular varias observaciones . </s>"
doc#1293	"<s> A set of recommendations had been drawn up to strengthen the rules of the 1951 Convention , the 1967 Protocol and the Cartagena Declaration by incorporating them in domestic legislation . </s>"	"<s> Se elaboró un conjunto de recomendaciones orientadas a fortalecer tanto la normativa de la Convención de 1951 y del Protocolo de 1967 como la Declaración de Cartagena , </s><s> incorporándola en las legislaciones y reglamentaciones internas . </s>"
doc#1300	<s> 163 . Financing of the International Tribunal for the Prosecution of Persons Responsible for Serious Violations of International Humanitarian Law Committed in the Territory of the Former Yugoslavia since 1991 ( resolution 47/235 of 14 September 1993 ) . </s>	"<s> 163 . </s><s> Financiación del Tribunal Internacional para el enjuiciamiento de los presuntos responsables de las violaciones graves del derecho internacional humanitario cometidas en el territorio de la ex Yugoslavia desde 1991 ( resolución 47/235 , de 14 de septiembre de 1993 ) . </s>"
doc#1301	"<s> The proposed study would reaffirm the fundamental principles of sovereign equality of all Member States and would emphasize the peaceful settlement of disputes , the non-use of force or the threat of force against the territorial integrity or the political independence of any State , and non-intervention in the internal affairs of States . </s>"	"<s> El estudio propuesto reafirmaría el principio fundamental de la igualdad soberana de todos los Estados Miembros y pondría énfasis en el arreglo </s><s> ( Sr . </s><s> Martini Herrera , Guatemala ) </s><s> pacífico de las controversias , en la abstención de recurrir a la amenaza o al uso de la fuerza contra la integridad territorial o la independencia política de cualquier Estado , y en la no intervención en los asuntos internos de los Estados . </s>"
doc#1301	<s> The Government of the People '' s Republic of China was to be commended for acknowledging China '' s problems and for its commitment to resolving them . </s>	<s> Hay que elogiar al Gobierno de la República Popular de China por reconocer los problemas del país y por su empeño en resolverlos . </s>
doc#1323	"<s> Noting the concerns expressed in the Fourth Review Conference of the Parties to the Non-Proliferation Treaty , 3/ that insufficient progress had been made towards the complete elimination of nuclear weapons at the earliest possible time , </s>"	"<s> Tomando nota de las preocupaciones expresadas en la Cuarta Conferencia de las Partes encargada del examen del Tratado sobre la no proliferación de las armas nuclearesNPT/CONF.IV/45/I . </s><s> en el sentido de que han sido insuficientes los progresos logrados para eliminar por completo las armas nucleares a la mayor brevedad posible , </s>"
doc#1323	"<s> Recalling the recommendation of the Secretary-General , made in An Agenda for Peace , 5/ that United Nations organs that are authorized to take advantage of the advisory competence of the International Court of Justice turn to the Court more frequently for such opinions , </s>"	"<s> Recordando la recomendación hecha por el Secretario General en Un programa de pazA/47/277-S/24111 . </s><s> de que los órganos de las Naciones Unidas autorizados para recurrir a la competencia consultiva de la Corte Internacional de Justicia soliciten con mayor frecuencia opiniones consultivas a la Corte , </s>"
doc#1328	<s> The problem of armaments in the world derived from the proliferation of conflicts ; resources had been used to acquire armaments at the expense of social and economic development . </s>	<s> El problema de los armamentos en el mundo se debe a la proliferación de conflictos ; se han utilizado recursos para adquirir armamentos a expensas del desarrollo social y económico . </s>
doc#1329	"<s> 5 . Transparency in armaments was the best means of building confidence among States at the subregional , regional and international levels . </s>"	"<s> 5 . </s><s> La transparencia en materia de armamentos es el mejor medio para fomentar la confianza entre los Estados en los planos subregional , regional e internacional . </s>"
doc#1329	"<s> Such confidence- and security-building measures as the exchange of information and prior notification of military activities , which would take into account the interests of all participating States , could serve in the initial stages as an indication of a serious intention to participate in the arms control process , and at a later stage could become fundamental elements of the verification of an arms control and regional security regime . </s>"	"<s> Medidas de fomento de la confianza y la seguridad , tales como intercambio de información y notificación previa de actividades militares , que tengan en cuenta los intereses de todos los Estados participantes , podrían considerarse en una primera etapa como demostración de la seriedad de las intenciones de participar en el proceso de control de armamentos y , en lo sucesivo , convertirse en elementos fundamentales de la verificación de la observancia del régimen de control de armamentos y seguridad regional . </s>"
doc#1330	"<s> Its policy was to settle disputes including those on maritime zones and islands in the Eastern or South China Sea , through peaceful negotiations . </s>"	"<s> Viet Nam tiene por política solucionar las controversias , incluidas las relativas a las zonas marítimas y las islas del Mar de China oriental y meridional , mediante negociaciones pacíficas . </s>"
doc#1339	<s> 14 . The Convention had entered into force in December 1983 after ratification by 20 States . </s>	"<s> 14 . </s><s> La Convención entró en vigor en diciembre de 1983 , después de que 20 Estados la hubieran ratificado . </s>"
doc#1341	"<s> 11 . Mrs. MASON ( Canada ) said that her delegation had supported the resolution , which it understood as simply requesting a factual paper drafted by the Secretariat . </s>"	"<s> 11 . </s><s> La Sra . </s><s> MASON ( Canadá ) declara que su delegación ha aprobado el proyecto de resolución , pues consiste simplemente en solicitar a la Secretaría que prepare un documento de carácter expositivo , que puede proporcionar información útil para los debates oficiosos que se celebrarán en Ginebra sobre la no proliferación de armas de destrucción en masa y sus vectores . </s>"
doc#1347	<s> The Conference on Security and Cooperation in Europe ( CSCE ) provided an important link between European and global security . </s>	<s> La Conferencia sobre la Seguridad y la Cooperación en Europa es uno de los importantes eslabones que garantizan el vínculo entre la seguridad europea y la seguridad mundial . </s>
doc#1349	"<s> 27 . With regard to the CTBT , Kenya maintained that , while moratoriums represented a positive step , they were not a substitute for a multilateral and verifiable legal instrument in that area . </s>"	"<s> 27 . </s><s> Con respecto al tratado de prohibición completa de los ensayos nucleares , Kenya sostiene que , si bien las moratorias constituyen una medida positiva , no reemplazan a un instrumento legal multilateral y verificable en ese sector . </s>"
doc#1349	"<s> The Register of Conventional Arms was an expression of the international solidarity and cooperation required for such a study , as well as a means of building the confidence required for general and complete disarmament . </s>"	<s> El Registro de Armas Convencionales es una manifestación de la solidaridad y cooperación internacionales necesarias para llevar a cabo ese estudio así como también un medio de fomentar la confianza necesaria para lograr el desarme general y completo . </s>
doc#1350	<s> The United Nations Regional Centres for Peace and Disarmament were important forums for promoting regional approaches to disarmament . </s>	"<s> Instrumentos idóneos para la difusión de los enfoques regionales al desarme son los centros regionales para la paz y el desarme de las Naciones Unidas , y la delegación de Nepal abunda en la opinión del Secretario General Adjunto de que deben desempeñar una importante función en la solución de los nuevos problemas que se plantean a la Organización . </s>"
doc#1350	<s> Unexpected conflicts which had emerged since the demise of super-Power rivalry had resulted in the use of arms and the expenditure of enormous resources for the destruction of human life and property . </s>	<s> El resultado de conflictos inesperados surgidos tras el fin de la rivalidad entre las superpotencias ha sido el empleo de armamentos y el gasto de un ingente volumen de recursos para destruir vidas humanas y bienes . </s>
doc#1352	<s> DEVELOPMENT AND INTERNATIONAL ECONOMIC COOPERATION : ENVIRONMENT </s>	<s> DESARROLLO Y COOPERACION ECONOMICA INTERNACIONAL : </s><s> MEDIO AMBIENTE </s>
doc#1352	"<s> Because of the sanctions and their adverse effects on the overall development of the country , the natural and cultural heritage under the protection of the United Nations Educational , Scientific and Cultural Organization ( UNESCO ) ( Durmitor , Kotor , Studenica , Sopocani ) has also been brought into question . </s>"	"<s> Como consecuencia de las sanciones y de sus efectos adversos sobre el desarrollo del país en su conjunto , también ha quedado en peligro el patrimonio natural y cultural que se hallaba bajo la protección de la Organización de las Naciones Unidas para la Educación , la Ciencia y la Cultura ( UNESCO ) ( Durmitor , Kotor , Studenica , Sopocani ) . </s>"
doc#1368	"<s> The debt-service burden had increased steadily over the past years , particularly in the least developed countries , where it equalled nearly three quarters of their GDP . </s>"	"<s> En efecto , a lo largo de los últimos años , la carga de la deuda se ha vuelto cada vez más agobiante , </s><s> ( Sr . </s><s> Karim , Bangladesh ) </s><s> especialmente para los países menos adelantados , en los que representa las tres cuartas partes del PIB . </s>"
doc#1383	"<s> ( Mr. Kalpage , Sri Lanka ) </s>"	"<s> 14 . </s><s> En este sentido es esencial concentrar los esfuerzos en el desarrollo de los recursos humanos , prestando particular atención a las cuestiones vinculadas con la educación , la salud , el empleo y las relaciones entre los sexos , así como con la distribución de la población y las migraciones internacionales y nacionales , pues todas ellas constituyen aspectos decisivos del proceso de desarrollo . </s>"
doc#1388	<s> His delegation looked forward to further international support following the Round-table Meeting on humanitarian assistance to be held in early 1994 . </s>	<s> La delegación de Rwanda espera poder seguir contando con el apoyo internacional después que se celebre la reunión en mesa redonda sobre asistencia humanitaria a principios de 1994 . </s>
doc#1391	<s> A collective guarantee by international donor countries and an interest subsidy would bring those funds within the reach of developing countries . </s>	<s> Una garantía colectiva de los países donantes y una bonificación de los intereses permitirían poner esas sumas a disposición de los países en desarrollo . </s>
doc#1403	<s> * Not issued as an official document . </s>	<s> * No se ha publicado como documento oficial . </s>
doc#1414	<s> 6 . Countries experiencing certain effects of economic decline have little hope of suppressing illicit cultivation . </s>	"<s> 6 . </s><s> Ciertas condiciones de deterioro económico hacen que los países que las sufren abriguen escasas esperanzas en cuanto al abatimiento de cultivos ilícitos , por lo que se requiere buscar alternativas tales como el fomentar , a través de créditos blandos , la inversión privada en las actividades agrícolas a fin de ofrecer mejores condiciones de vida a los grupos marginados , desalentándolos del cultivo ilícito de drogas , así como la obtención de recursos suficientes y privilegiados por parte de la comunidad internacional . </s>"
